"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Kyle Allen","CAR","1","44","41","25","3","70","295","0","7.2","0","0","0","1","1","","","","","","2","5","0","0","0","","","","","","","0","0","11.3","0.26"
"Taysom Hill","NO","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","2","4","0","0","0","","","","","","","0","0","0.4",""
"Patrick Mahomes","KC","1","29","25","16","3","79.2","174","0","6.13","1","0","0","1","0","","","","","","7","21","0","0","0","","","","","","","0","0","12.1","0.42"
"Mitchell Trubisky","CHI","1","43","37","26","0","74.3","207","0","5.97","0","0","0","0","4","","","","","","2","1","0","0","2","","","","","","","0","0","8.4","0.2"
"Dak Prescott","DAL","1","37","33","23","4","90","303","1","7.2","4","1","0","0","3","","","","","","3","35","0","0","1","","","","","","","0","0","31.6","0.85"
"Jacoby Brissett","IND","1","30","25","12","3","71.4","162","0","9","0","0","0","0","3","","","","","","4","17","0","0","2","","","","","","","0","0","8.2","0.27"
"Carson Wentz","PHI","1","43","40","23","2","67.6","289","0","8.16","1","0","0","0","1","","","","","","3","15","0","0","1","","","","","","","0","0","17.1","0.4"
"Jared Goff","LA","1","47","45","29","0","69","319","1","7.74","3","0","0","0","1","","","","","","2","4","0","0","0","","","","","","","0","0","25.2","0.54"
"Brett Hundley","ARZ","1","1","1","1","0","100","0","0","-7","0","0","0","0","0","","","","","","1","6","0","0","0","","","","","","","0","0","0.6","0.6"
"Sean Mannion","MIN","1","21","21","12","2","77.8","126","0","7.39","0","0","0","2","0","","","","","","1","0","0","0","1","","","","","","","0","0","3","0.14"
"Marcus Mariota","TEN","1","1","1","1","0","100","24","0","13","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","1","1"
"Jameis Winston","TB","1","27","24","13","1","63.6","201","0","12.41","2","0","0","2","1","","","","","","2","5","0","0","0","","","","","","","1","1","14.5","0.54"
"A.J. McCarron","HST","1","45","36","21","0","67.7","225","0","8.52","0","0","0","1","4","","","","","","5","39","1","0","0","","","","","","","0","0","17.9","0.4"
"Jimmy Garoppolo","SF","1","24","22","18","0","81.8","285","0","6.5","0","0","0","0","2","","","","","","2","4","0","0","0","","","","","","","0","1","11.8","0.49"
"Derek Carr","OAK","1","48","46","29","3","84.2","391","1","7.82","1","0","0","0","2","","","","","","1","0","0","0","1","","","","","","","0","1","19.6","0.41"
"Teddy Bridgewater","NO","1","2","1","1","0","100","14","0","-7","0","0","0","0","1","","","","","","3","-3","0","0","0","","","","","","","0","0","0.3","0.15"
"Matt Barkley","BUF","1","36","35","18","4","71","232","0","8.42","0","0","0","2","1","","","","","","2","-4","0","0","2","","","","","","","0","0","6.9","0.19"
"Case Keenum","WAS","1","39","37","18","1","55.9","206","0","7.26","1","0","0","1","2","","","","","","0","0","0","0","0","","","","","","","0","0","11.2","0.29"
"Russell Wilson","SEA","1","48","40","25","2","75","233","0","7.39","2","0","0","0","1","","","","","","8","29","0","0","0","","","","","","","0","0","20.2","0.42"
"Ryan Tannehill","TEN","1","22","20","13","0","68.4","198","0","13.42","2","1","1","0","0","","","","","","5","20","0","0","0","","","","","","","0","0","17.9","0.81"
"Robert Griffin III","BLT","1","25","21","11","0","57.9","96","0","7.63","0","0","0","1","3","","","","","","8","50","0","0","0","","","","","","","0","0","7.8","0.31"
"Andy Dalton","CIN","1","31","28","16","3","73.1","190","0","9.38","1","0","0","1","1","","","","","","8","10","1","0","1","","","","","","","0","0","17.6","0.57"
"Matt Ryan","ATL","1","58","51","30","0","76.9","313","1","6.92","1","0","0","0","6","","","","","","2","0","0","0","1","","","","","","","0","0","16.5","0.28"
"Ryan Fitzpatrick","MIA","1","47","41","28","4","78","320","1","9.56","1","0","0","0","2","","","","","","5","15","1","0","1","","","","","","","0","0","24.3","0.52"
"Aaron Rodgers","GB","1","57","55","27","3","56.6","323","1","14.38","2","0","0","1","1","","","","","","2","1","0","0","0","","","","","","","0","0","20","0.35"
"Philip Rivers","LAC","1","51","46","31","3","79.1","281","0","7.6","2","0","0","2","3","","","","","","1","5","0","0","0","","","","","","","0","0","17.7","0.35"
"Drew Brees","NO","1","30","30","19","1","74.1","253","0","8.15","3","1","0","0","0","","","","","","1","-1","0","0","0","","","","","","","0","0","22","0.73"
"Tom Brady","NE","1","30","29","16","1","58.6","221","0","11.17","2","0","0","1","1","","","","","","0","0","0","0","0","","","","","","","0","0","15.8","0.53"
